event_id,ticker,source_scope,window_days,indicator,direction,signal_day,entry_day,entry_price,top_net,bottom_net,top_author_net,previous_top_author_net,author_net_delta,author_net_shift_pct,top_authors,bottom_authors,outcome_horizon,exit_day,exit_price,directional_return_pct,directional_excess_pct,raw_hit,excess_hit,status,evidence
MU:xueqiu:30:author_net:2026-06-25:bull,MU,xueqiu,30,author_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,1D,2026-06-26,1132.33,-0.0059214713693128695,-0.005983204421875166,0,0,settled,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:author_net:2026-06-25:bull,MU,xueqiu,30,author_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,20D,,,,,,,pending,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:author_net:2026-06-25:bull,MU,xueqiu,30,author_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,5D,2026-07-02,975.56,-0.14355068805829296,-0.16527386333214766,0,0,settled,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:author_net:2026-06-25:bull,MU,xueqiu,30,author_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,60D,,,,,,,pending,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:author_net:2026-06-25:bull,MU,xueqiu,30,author_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,90D,,,,,,,pending,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:weighted_net:2026-06-25:bull,MU,xueqiu,30,weighted_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,1D,2026-06-26,1132.33,-0.0059214713693128695,-0.005983204421875166,0,0,settled,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 该帖子讨论了澜起科技作为配套芯片，其走势与存储芯片相关。文章指出美光（MU）的财报会议提到MRDIMM已小批量量产，并将在2026年完成认证，2027年大规模渗透，且MRDIMM的毛利率仅次于HBM。这表明存储芯片行业，尤其是与MRDIMM相关的公司，未来前景看好。 https://xueqiu.com/4674652864/396613568 || [xueqiu] Lynne927 rank 3/25 bull: 海力士和美光科技均创历史新高，存储板块表现强劲，调整迅速结束。 https://xueqiu.com/4674652864/396666968 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:weighted_net:2026-06-25:bull,MU,xueqiu,30,weighted_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,20D,,,,,,,pending,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 该帖子讨论了澜起科技作为配套芯片，其走势与存储芯片相关。文章指出美光（MU）的财报会议提到MRDIMM已小批量量产，并将在2026年完成认证，2027年大规模渗透，且MRDIMM的毛利率仅次于HBM。这表明存储芯片行业，尤其是与MRDIMM相关的公司，未来前景看好。 https://xueqiu.com/4674652864/396613568 || [xueqiu] Lynne927 rank 3/25 bull: 海力士和美光科技均创历史新高，存储板块表现强劲，调整迅速结束。 https://xueqiu.com/4674652864/396666968 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:weighted_net:2026-06-25:bull,MU,xueqiu,30,weighted_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,5D,2026-07-02,975.56,-0.14355068805829296,-0.16527386333214766,0,0,settled,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 该帖子讨论了澜起科技作为配套芯片，其走势与存储芯片相关。文章指出美光（MU）的财报会议提到MRDIMM已小批量量产，并将在2026年完成认证，2027年大规模渗透，且MRDIMM的毛利率仅次于HBM。这表明存储芯片行业，尤其是与MRDIMM相关的公司，未来前景看好。 https://xueqiu.com/4674652864/396613568 || [xueqiu] Lynne927 rank 3/25 bull: 海力士和美光科技均创历史新高，存储板块表现强劲，调整迅速结束。 https://xueqiu.com/4674652864/396666968 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:weighted_net:2026-06-25:bull,MU,xueqiu,30,weighted_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,60D,,,,,,,pending,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 该帖子讨论了澜起科技作为配套芯片，其走势与存储芯片相关。文章指出美光（MU）的财报会议提到MRDIMM已小批量量产，并将在2026年完成认证，2027年大规模渗透，且MRDIMM的毛利率仅次于HBM。这表明存储芯片行业，尤其是与MRDIMM相关的公司，未来前景看好。 https://xueqiu.com/4674652864/396613568 || [xueqiu] Lynne927 rank 3/25 bull: 海力士和美光科技均创历史新高，存储板块表现强劲，调整迅速结束。 https://xueqiu.com/4674652864/396666968 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
MU:xueqiu:30:weighted_net:2026-06-25:bull,MU,xueqiu,30,weighted_net,bull,2026-06-25,2026-06-26,1139.075,1.320470325504,0.0,2,0,2,100.0,2,0,90D,,,,,,,pending,[xueqiu] Island_jo rank 2/24 bull: 该帖子认为存储行业基本面强劲，除非美光财报暴雷，否则下半年存储行业将加速上涨。美光（MU）被视为存储行业的重要组成部分，其财报是判断行业走势的关键条件。 https://xueqiu.com/7685246569/395990520 || [xueqiu] Lynne927 rank 3/25 bull: 该帖子讨论了澜起科技作为配套芯片，其走势与存储芯片相关。文章指出美光（MU）的财报会议提到MRDIMM已小批量量产，并将在2026年完成认证，2027年大规模渗透，且MRDIMM的毛利率仅次于HBM。这表明存储芯片行业，尤其是与MRDIMM相关的公司，未来前景看好。 https://xueqiu.com/4674652864/396613568 || [xueqiu] Lynne927 rank 3/25 bull: 海力士和美光科技均创历史新高，存储板块表现强劲，调整迅速结束。 https://xueqiu.com/4674652864/396666968 || [xueqiu] Lynne927 rank 3/25 bull: 美光财报提及行业供应商将洁净室空间从NAND转向DRAM，限制了NAND的供应增长，导致NAND供应在可见未来仍将紧缺，利好NAND行业。 https://xueqiu.com/4674652864/396753243
